seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	Clusters
chr1	40392752	40392893	142	*	Distal Intergenic	1	40429570	40446723	17154	1	17082	ENSMUST00000174335.7	-36677	ENSMUSG00000026069	Il1rl1	interleukin 1 receptor-like 1	SMRT Uns
chr1	72307589	72307730	142	*	Promoter	1	72307421	72394952	87532	1	22596	ENSMUST00000027379.8	168	ENSMUSG00000026187	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5	SMRT Uns
chr1	74375024	74375165	142	*	Promoter	1	74375195	74385755	10561	1	18173	ENSMUST00000187516.6	-30	ENSMUSG00000026177	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	SMRT Uns
chr1	74386974	74387115	142	*	Distal Intergenic	1	74383600	74385197	1598	1	18173	ENSMUST00000134189.1	3374	ENSMUSG00000026177	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	SMRT Uns
chr1	84426784	84426925	142	*	Intron (ENSMUST00000049126.12/227325, intron 8 of 12)	1	84107794	84364180	256387	2	98496	ENSMUST00000175996.7	-62604	ENSMUSG00000045658	Pid1	phosphotyrosine interaction domain containing 1	SMRT Uns
chr1	84437742	84437883	142	*	Intron (ENSMUST00000049126.12/227325, intron 8 of 12)	1	84107794	84364180	256387	2	98496	ENSMUST00000175996.7	-73562	ENSMUSG00000045658	Pid1	phosphotyrosine interaction domain containing 1	SMRT Uns
chr1	85738143	85738284	142	*	Intron (ENSMUST00000159122.7/319997, intron 3 of 7)	1	85717689	85736629	18941	2	319997	ENSMUST00000064788.13	-1514	ENSMUSG00000052760	A630001G21Rik	RIKEN cDNA A630001G21 gene	SMRT Uns
chr1	127296967	127297108	142	*	Intron (ENSMUST00000189427.6/107895, intron 1 of 7)	1	127306762	127483704	176943	1	107895	ENSMUST00000171405.1	-9654	ENSMUSG00000036155	Mgat5	mannoside acetylglucosaminyltransferase 5	SMRT Uns
chr1	127305603	127305744	142	*	Intron (ENSMUST00000189427.6/107895, intron 1 of 7)	1	127306762	127483704	176943	1	107895	ENSMUST00000171405.1	-1018	ENSMUSG00000036155	Mgat5	mannoside acetylglucosaminyltransferase 5	SMRT Uns
chr1	127322365	127322506	142	*	Intron (ENSMUST00000189427.6/107895, intron 3 of 7)	1	127306762	127483704	176943	1	107895	ENSMUST00000171405.1	15603	ENSMUSG00000036155	Mgat5	mannoside acetylglucosaminyltransferase 5	SMRT Uns
chr1	130824520	130824661	142	*	Distal Intergenic	1	130826684	130852249	25566	1	18703	ENSMUST00000027675.13	-2023	ENSMUSG00000026417	Pigr	polymeric immunoglobulin receptor	SMRT Uns
chr1	131136106	131136247	142	*	Intron (ENSMUST00000016670.8/226419, intron 2 of 2)	1	131129875	131138245	8371	2	226419	ENSMUST00000189756.1	1998	ENSMUSG00000016526	Dyrk3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	SMRT Uns
chr1	131942706	131942847	142	*	Distal Intergenic	1	131962954	132014486	51533	1	212980	ENSMUST00000191034.1	-20107	ENSMUSG00000026435	Slc45a3	solute carrier family 45, member 3	SMRT Uns
chr1	132155759	132155900	142	*	Distal Intergenic	1	132112237	132139684	27448	2	18557	ENSMUST00000027697.11	-16075	ENSMUSG00000026437	Cdk18	cyclin-dependent kinase 18	SMRT Uns
chr1	134458296	134458437	142	*	Exon (ENSMUST00000133721.7/240756, exon 2 of 3)	1	134455555	134490873	35319	1	240756	ENSMUST00000116528.1	2741	ENSMUSG00000026455	Klhl12	kelch-like 12	SMRT Uns
chr1	134477828	134477969	142	*	Intron (ENSMUST00000112232.7/240756, intron 6 of 11)	1	134475280	134485924	10645	1	240756	ENSMUST00000141458.1	2548	ENSMUSG00000026455	Klhl12	kelch-like 12	SMRT Uns
chr1	135509572	135509713	142	*	Promoter	1	135457782	135510384	52603	2	215690	ENSMUST00000189362.6	671	ENSMUSG00000009418	Nav1	neuron navigator 1	SMRT Uns
chr1	135517056	135517197	142	*	Intron (ENSMUST00000040599.14/215690, intron 3 of 29)	1	135458680	135510451	51772	2	215690	ENSMUST00000190130.1	-6605	ENSMUSG00000009418	Nav1	neuron navigator 1	SMRT Uns
chr1	135534837	135534978	142	*	Intron (ENSMUST00000040599.14/215690, intron 2 of 29)	1	135458680	135510451	51772	2	215690	ENSMUST00000190130.1	-24386	ENSMUSG00000009418	Nav1	neuron navigator 1	SMRT Uns
chr1	135635439	135635580	142	*	Intron (ENSMUST00000112103.1/ENSMUST00000112103.1, intron 1 of 1)	1	135438848	135607295	168448	2	215690	ENSMUST00000190298.6	-28144	ENSMUSG00000009418	Nav1	neuron navigator 1	SMRT Uns
chr1	153913993	153914134	142	*	Distal Intergenic	1	153906043	153907116	1074	1	14645	ENSMUST00000154576.1	7950	ENSMUSG00000026473	Glul	glutamate-ammonia ligase (glutamine synthetase)	SMRT Uns
chr1	170975692	170975833	142	*	Promoter	1	170958617	170976127	17511	2	14130	ENSMUST00000027966.13	294	ENSMUSG00000026656	Fcgr2b	Fc receptor, IgG, low affinity IIb	SMRT Uns
chr1	171006458	171006599	142	*	Distal Intergenic	1	171018920	171029761	10842	1	246256	ENSMUST00000078825.4	-12321	ENSMUSG00000059089	Fcgr4	Fc receptor, IgG, low affinity IV	SMRT Uns
