seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	Clusters
chr1	11586876	11587043	168	*	Intron (ENSMUST00000171690.8/320492, intron 5 of 7)	1	11579306	11596631	17326	1	320492	ENSMUST00000191437.1	7570	ENSMUSG00000057715	A830018L16Rik	RIKEN cDNA A830018L16 gene	NCoR1 Uns
chr1	36296675	36296842	168	*	Distal Intergenic	1	36307733	36319203	11471	1	214855	ENSMUST00000126413.7	-10891	ENSMUSG00000037447	Arid5a	AT rich interactive domain 5A (MRF1-like)	NCoR1 Uns
chr1	36308122	36308289	168	*	Promoter	1	36307779	36316578	8800	1	214855	ENSMUST00000140218.1	343	ENSMUSG00000037447	Arid5a	AT rich interactive domain 5A (MRF1-like)	NCoR1 Uns
chr1	60579917	60580084	168	*	Distal Intergenic	1	60525688	60567104	41417	2	77300	ENSMUST00000142258.2	-12813	ENSMUSG00000026014	Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	NCoR1 Uns
chr1	60623564	60623731	168	*	Distal Intergenic	1	60525688	60567104	41417	2	77300	ENSMUST00000142258.2	-56460	ENSMUSG00000026014	Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	NCoR1 Uns
chr1	61001888	61002055	168	*	Distal Intergenic	1	60977927	61000320	22394	1	54167	ENSMUST00000102827.3	23961	ENSMUSG00000026009	Icos	inducible T cell co-stimulator	NCoR1 Uns
chr1	61154700	61154867	168	*	Distal Intergenic	1	60977927	61000320	22394	1	54167	ENSMUST00000102827.3	176773	ENSMUSG00000026009	Icos	inducible T cell co-stimulator	NCoR1 Uns
chr1	132370958	132371125	168	*	Intron (ENSMUST00000045473.15/68875, intron 2 of 4)	1	132356316	132367887	11572	2	68875	ENSMUST00000142609.7	-3071	ENSMUSG00000042066	Tmcc2	transmembrane and coiled-coil domains 2	NCoR1 Uns
chr1	132388881	132389048	168	*	Intron (ENSMUST00000045473.15/68875, intron 1 of 4)	1	132356323	132390318	33996	2	68875	ENSMUST00000132435.1	1270	ENSMUSG00000042066	Tmcc2	transmembrane and coiled-coil domains 2	NCoR1 Uns
chr1	165717759	165717926	168	*	Distal Intergenic	1	165664953	165709393	44441	2	226594	ENSMUST00000193714.1	-8366	ENSMUSG00000040723	Rcsd1	RCSD domain containing 1	NCoR1 Uns
chr1	173972022	173972189	168	*	Intron (ENSMUST00000000266.8/26388, intron 4 of 6)	1	173962568	173982744	20177	2	26388	ENSMUST00000000266.8	10555	ENSMUSG00000026535	Ifi202b	interferon activated gene 202B	NCoR1 Uns
chr1	192087106	192087273	168	*	Intron (ENSMUST00000085573.11/22033, intron 1 of 11)	1	191997430	192092559	95130	2	22033	ENSMUST00000085573.11	5286	ENSMUSG00000026637	Traf5	TNF receptor-associated factor 5	NCoR1 Uns
chr10	117625907	117626074	168	*	Distal Intergenic	10	117629500	117635373	5874	1	70574	ENSMUST00000138020.7	-3426	ENSMUSG00000020183	Cpm	carboxypeptidase M	NCoR1 Uns
chr10	120882426	120882593	168	*	Intron (ENSMUST00000092143.11/320183, intron 1 of 6)	10	120783894	120871152	87259	2	320183	ENSMUST00000130950.1	-11274	ENSMUSG00000051236	Msrb3	methionine sulfoxide reductase B3	NCoR1 Uns
chr11	51328582	51328749	168	*	Intron (ENSMUST00000102765.8/237759, intron 2 of 28)	11	51289920	51583918	293999	1	237759	ENSMUST00000102765.8	38662	ENSMUSG00000063564	Col23a1	collagen, type XXIII, alpha 1	NCoR1 Uns
chr11	51356475	51356642	168	*	Intron (ENSMUST00000102765.8/237759, intron 2 of 28)	11	51289920	51583918	293999	1	237759	ENSMUST00000102765.8	66555	ENSMUSG00000063564	Col23a1	collagen, type XXIII, alpha 1	NCoR1 Uns
chr11	51577663	51577830	168	*	Intron (ENSMUST00000102765.8/237759, intron 27 of 28)	11	51574432	51580299	5868	1	237759	ENSMUST00000151098.1	3231	ENSMUSG00000063564	Col23a1	collagen, type XXIII, alpha 1	NCoR1 Uns
chr11	60811069	60811236	168	*	Promoter	11	60797245	60811091	13847	2	20425	ENSMUST00000173260.7	0	ENSMUSG00000020534	Shmt1	serine hydroxymethyltransferase 1 (soluble)	NCoR1 Uns
chr11	62387727	62387894	168	*	Intron (ENSMUST00000101066.9/20185, intron 13 of 44)	11	62373364	62384843	11480	2	20185	ENSMUST00000161699.7	-2884	ENSMUSG00000018501	Ncor1	nuclear receptor co-repressor 1	NCoR1 Uns
chr11	62404110	62404277	168	*	Intron (ENSMUST00000101066.9/20185, intron 6 of 44)	11	62395186	62401550	6365	2	20185	ENSMUST00000124027.2	-2560	ENSMUSG00000018501	Ncor1	nuclear receptor co-repressor 1	NCoR1 Uns
chr11	73071966	73072133	168	*	Intron (ENSMUST00000021135.4/66874, intron 9 of 12)	11	73090583	73134834	44252	1	16407	ENSMUST00000102537.9	-18450	ENSMUSG00000005947	Itgae	integrin alpha E, epithelial-associated	NCoR1 Uns
chr11	73077473	73077640	168	*	Intron (ENSMUST00000021135.4/66874, intron 11 of 12)	11	73090583	73134834	44252	1	16407	ENSMUST00000102537.9	-12943	ENSMUSG00000005947	Itgae	integrin alpha E, epithelial-associated	NCoR1 Uns
chr11	73077974	73078141	168	*	Exon (ENSMUST00000021135.4/66874, exon 12 of 13)	11	73090583	73134834	44252	1	16407	ENSMUST00000102537.9	-12442	ENSMUSG00000005947	Itgae	integrin alpha E, epithelial-associated	NCoR1 Uns
chr11	73092893	73093060	168	*	Intron (ENSMUST00000102537.9/16407, intron 1 of 25)	11	73090583	73147446	56864	1	16407	ENSMUST00000006101.3	2310	ENSMUSG00000005947	Itgae	integrin alpha E, epithelial-associated	NCoR1 Uns
chr11	74505452	74505619	168	*	Intron (ENSMUST00000102521.8/380711, intron 2 of 24)	11	74436924	74522751	85828	2	380711	ENSMUST00000208896.1	17132	ENSMUSG00000038807	Rap1gap2	RAP1 GTPase activating protein 2	NCoR1 Uns
chr11	74524470	74524637	168	*	Intron (ENSMUST00000102521.8/380711, intron 2 of 24)	11	74436924	74522751	85828	2	380711	ENSMUST00000208896.1	-1719	ENSMUSG00000038807	Rap1gap2	RAP1 GTPase activating protein 2	NCoR1 Uns
chr11	74532411	74532578	168	*	Intron (ENSMUST00000102521.8/380711, intron 2 of 24)	11	74436924	74522751	85828	2	380711	ENSMUST00000208896.1	-9660	ENSMUSG00000038807	Rap1gap2	RAP1 GTPase activating protein 2	NCoR1 Uns
chr11	74533250	74533417	168	*	Intron (ENSMUST00000102521.8/380711, intron 2 of 24)	11	74436924	74522751	85828	2	380711	ENSMUST00000208896.1	-10499	ENSMUSG00000038807	Rap1gap2	RAP1 GTPase activating protein 2	NCoR1 Uns
chr11	74547121	74547288	168	*	Intron (ENSMUST00000102521.8/380711, intron 2 of 24)	11	74436924	74522751	85828	2	380711	ENSMUST00000208896.1	-24370	ENSMUSG00000038807	Rap1gap2	RAP1 GTPase activating protein 2	NCoR1 Uns
chr11	75395759	75395926	168	*	Intron (ENSMUST00000044530.2/319822, intron 5 of 10)	11	75399609	75400633	1025	1	319822	ENSMUST00000135774.1	-3683	ENSMUSG00000018809	Smyd4	SET and MYND domain containing 4	NCoR1 Uns
