© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
White Adipose Tissue Browning Pathway	3.73E00	5.51E-02	NaN	CACNA1E,FOXC2,KDR,PRDM16,SLC16A1,THRB,VEGFA	
Inhibition of Angiogenesis by TSP1	3.62E00	1.21E-01	NaN	KDR,MMP9,THBS1,VEGFA	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	3.56E00	4.47E-02	NaN	COL12A1,COL4A1,COL4A2,EGFR,IGFBP4,KDR,MMP9,VEGFA	
Bladder Cancer Signaling	2.71E00	5.26E-02	NaN	EGFR,FGF13,MMP9,THBS1,VEGFA	
Regulation of the Epithelial-Mesenchymal Transition Pathway	2.69E00	3.68E-02	NaN	EGFR,FGF13,FOXC2,FZD10,MMP9,SNAI2,TCF4	
LXR/RXR Activation	2.44E00	4.55E-02	NaN	LPL,MMP9,PLTP,SCD,TF	
Hepatic Fibrosis Signaling Pathway	2.23E00	2.54E-02	NaN	CACNA1E,FZD10,KDR,MYLK,RHOH,SPP1,TCF4,TF,VEGFA	
VEGF Family Ligand-Receptor Interactions	2.14E00	4.88E-02	NaN	KDR,NRP2,PLA2G2D,VEGFA	
Colorectal Cancer Metastasis Signaling	2.08E00	2.85E-02	NaN	EGFR,FZD10,MMP9,RHOH,TCF4,Tlr13,VEGFA	
Ovarian Cancer Signaling	2.04E00	3.65E-02	NaN	EGFR,FZD10,MMP9,TCF4,VEGFA	
Breast Cancer Regulation by Stathmin1	1.78E00	1.95E-02	NaN	ADGRG6,ADGRL3,ARHGEF18,ARHGEF3,CALCRL,CHRM2,FFAR4,FZD10,MMP9,P2RY1,VEGFA	
Atherosclerosis Signaling	1.69E00	3.57E-02	NaN	ALOX5,LPL,MMP9,PLA2G2D	
Glioma Invasiveness Signaling	1.55E00	4.23E-02	NaN	MMP9,PLAU,RHOH	
BEX2 Signaling Pathway	1.5E00	4.05E-02	NaN	SPP1,TCF4,VEGFA	
IL-8 Signaling	1.48E00	2.62E-02	NaN	EGFR,KDR,MMP9,RHOH,VEGFA	
Adipogenesis pathway	1.48E00	3.08E-02	NaN	FOXC2,FZD10,HDAC7,LPL	
PRPP Biosynthesis I	1.44E00	2.5E-01	NaN	PRPS1	
Melatonin Degradation II	1.44E00	2.5E-01	NaN	MAOA	
Osteoarthritis Pathway	1.39E00	2.48E-02	NaN	FZD10,MMP9,SPP1,TCF4,VEGFA	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	1.39E00	3.66E-02	NaN	HLA-A,SPP1,Tlr13	
Gustation Pathway	1.38E00	2.86E-02	NaN	CACNA1E,P2RY1,PDE11A,PDE7B	
