© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
NAD Salvage Pathway II	4.35E00	2.27E-01	NaN	ACP2,NMRK1,NT5C,NT5C3B,PXYLP1	
IL-10 Signaling	3.65E00	1.06E-01	NaN	BLVRA,BLVRB,CCR5,CD14,FCGR2B,IL18,MAP2K6	
Phagosome Formation	2.9E00	7.08E-02	NaN	C3AR1,FCGR2B,PIK3R2,PLCD3,PRKCG,RAC3,TLR1,TLR6	
Heme Degradation	2.69E00	5E-01	NaN	BLVRA,BLVRB	
Cellular Effects of Sildenafil (Viagra)	2.64E00	6.45E-02	NaN	ADCY6,CACNG8,MYH11,MYH7B,PDE2A,PLCD3,PRKACB,SLC4A5	
Communication between Innate and Adaptive Immune Cells	2.59E00	8.11E-02	NaN	CCL3L3,CD8B,IL18,TLR1,TLR6,TNFRSF13C	
DNA Methylation and Transcriptional Repression Signaling	2.45E00	1.18E-01	NaN	CHD3,DNMT3B,H3-3A/H3-3B,MTA2	
RhoA Signaling	2.18E00	5.93E-02	NaN	ARHGAP4,CDC42EP2,LIMK1,LPAR5,RHPN1,SEPTIN1,SEPTIN8	
Pyridoxal 5'-phosphate Salvage Pathway	2.17E00	7.81E-02	NaN	CDK18,GRK5,LIMK1,MAP2K6,PDXK	
Adrenomedullin signaling pathway	1.98E00	4.66E-02	NaN	ADCY6,IL18,MAP2K6,NT5C,PIK3R2,PLCD3,PRKACB,RXRA,SHE	
Toll-like Receptor Signaling	1.96E00	6.94E-02	NaN	CD14,IL18,MAP2K6,TLR1,TLR6	
BEX2 Signaling Pathway	1.91E00	6.76E-02	NaN	KLK3,LDB1,LGALS1,PPM1L,VEGFB	
NAD Phosphorylation and Dephosphorylation	1.85E00	2E-01	NaN	ACP2,PXYLP1	
Apelin Adipocyte Signaling Pathway	1.84E00	6.49E-02	NaN	ADCY6,CAT,GSTP1,NCF2,PRKACB	
Actin Cytoskeleton Signaling	1.77E00	4.31E-02	NaN	CD14,FGF11,IQGAP3,LIMK1,MYH11,MYH7B,PIK3R2,RAC3,TRIO	
Role of NFAT in Cardiac Hypertrophy	1.77E00	4.31E-02	NaN	ADCY6,CACNG8,CAMK1,MAP2K6,MEF2D,PIK3R2,PLCD3,PRKACB,PRKCG	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	1.77E00	5.45E-02	NaN	ADCY6,CACNG8,LPAR5,PLCD3,PRKACB,PRKCG	
Colorectal Cancer Metastasis Signaling	1.76E00	4.07E-02	NaN	ADCY6,MMP19,MMP25,PIK3R2,PRKACB,RAC3,TLR1,TLR6,VEGFB,WNT11	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	1.76E00	4.07E-02	NaN	FCGR2B,IL18,INPP5J,PIK3R2,PIM2,PRKCG,RAC3,SHE,SYNJ2,TNFRSF13C	
SPINK1 Pancreatic Cancer Pathway	1.74E00	7.41E-02	NaN	CPD,CPM,KLK15,KLK3	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	1.73E00	6.1E-02	NaN	HLA-DOA,IL18,TLR1,TLR6,TNFRSF13C	
Methylthiopropionate Biosynthesis	1.73E00	1E00	NaN	ADI1	
Fc Epsilon RI Signaling	1.72E00	5.31E-02	NaN	INPP5J,MAP2K6,PIK3R2,PRKCG,RAC3,SYNJ2	
Guanosine Nucleotides Degradation III	1.69E00	1.67E-01	NaN	NT5C,NT5C3B	
Fatty Acid β-oxidation I	1.67E00	9.38E-02	NaN	EHHADH,IVD,SLC27A1	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	1.63E00	1.54E-01	NaN	NT5C,NT5C3B	
eNOS Signaling	1.61E00	4.58E-02	NaN	ADCY6,CHRNB1,LPAR5,PIK3R2,PRKACB,PRKCG,VEGFB	
Xenobiotic Metabolism Signaling	1.58E00	3.8E-02	NaN	ALDH2,CAMK1,CAT,GSTP1,MAF,MAP2K6,PIK3R2,PPM1L,PRKCG,RXRA	
Superpathway of Inositol Phosphate Compounds	1.58E00	4.21E-02	NaN	INPP5J,NT5C,PIK3R2,PLCD3,PPFIA3,PTPRJ,PXYLP1,SYNJ2	
Adenosine Nucleotides Degradation II	1.57E00	1.43E-01	NaN	NT5C,NT5C3B	
Salvage Pathways of Pyrimidine Ribonucleotides	1.56E00	5.49E-02	NaN	CDK18,GRK5,LIMK1,MAP2K6,NME2	
Gap Junction Signaling	1.55E00	4.15E-02	NaN	ADCY6,GJC1,NT5C,PIK3R2,PLCD3,PRKACB,PRKCG,TUBB3	
Axonal Guidance Signaling	1.54E00	3.22E-02	NaN	ABLIM1,ADAM15,EFNA2,GLIS2,ITSN1,LIMK1,MMP25,PIK3R2,PLCD3,PRKACB,PRKCG,RAC3,TUBB3,VEGFB,WNT11	
Inhibition of Matrix Metalloproteases	1.51E00	8.11E-02	NaN	HSPG2,MMP19,MMP25	
Netrin Signaling	1.5E00	6.25E-02	NaN	ABLIM1,CACNG8,PRKACB,RAC3	
Nitric Oxide Signaling in the Cardiovascular System	1.49E00	5.26E-02	NaN	PDE2A,PIK3R2,PRKACB,PRKCG,VEGFB	
Hepatic Fibrosis Signaling Pathway	1.47E00	3.39E-02	NaN	COL11A2,GLIS2,IL18,MAP2K6,NCF2,PDCD4,PIK3R2,PRKACB,PRKCG,RAC3,VEGFB,WNT11	
Chondroitin Sulfate Degradation (Metazoa)	1.46E00	1.25E-01	NaN	GALNS,HEXD	
Intrinsic Prothrombin Activation Pathway	1.45E00	7.69E-02	NaN	COL11A2,KLK15,KLK3	
4-hydroxyproline Degradation I	1.43E00	5E-01	NaN	HOGA1	
Cysteine Biosynthesis/Homocysteine Degradation	1.43E00	5E-01	NaN	CBS/CBSL	
Glutamine Degradation I	1.43E00	5E-01	NaN	GLS2	
Agranulocyte Adhesion and Diapedesis	1.43E00	4.19E-02	NaN	CCL3L3,Ccl6,IL18,MMP19,MMP25,MYH11,MYH7B	
Xenobiotic Metabolism General Signaling Pathway	1.43E00	4.55E-02	NaN	GSTP1,MAF,MAP2K6,PIK3R2,PRKCG,RXRA	
Neuropathic Pain Signaling In Dorsal Horn Neurons	1.42E00	5.05E-02	NaN	CAMK1,PIK3R2,PLCD3,PRKACB,PRKCG	
Purine Nucleotides Degradation II (Aerobic)	1.41E00	1.18E-01	NaN	NT5C,NT5C3B	
D-myo-inositol (1,4,5)-trisphosphate Degradation	1.41E00	1.18E-01	NaN	INPP5J,SYNJ2	
TREM1 Signaling	1.4E00	5.8E-02	NaN	FCGR2B,IL18,TLR1,TLR6	
Melatonin Signaling	1.4E00	5.8E-02	NaN	MAP2K6,PLCD3,PRKACB,PRKCG	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	1.36E00	1.11E-01	NaN	INPP5J,SYNJ2	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	1.36E00	1.11E-01	NaN	INPP5J,SYNJ2	
Fatty Acid α-oxidation	1.36E00	1.11E-01	NaN	ALDH2,BCO2	
Endocannabinoid Cancer Inhibition Pathway	1.34E00	4.32E-02	NaN	ADCY6,MAP2K6,PIK3R2,PRKACB,SMPD1,VEGFB	
