© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Osteoarthritis Pathway	8.35E00	1.04E-01	NaN	ADAMTS4,ANXA2,BMP2,CASP6,CASQ1,CASR,CEBPB,FGFR1,FGFR3,FZD7,FZD8,HTRA1,IL1R1,MMP10,MMP12,MMP13,NFKB2,NOTCH1,S1PR2,SDC4,SMAD6	
Granulocyte Adhesion and Diapedesis	7.17E00	1.09E-01	NaN	CCL2,CCL4,Ccl7,Ccl8,CLDN4,HRH2,IL1R1,IL1RN,ITGA1,ITGA6,ITGAM,MMP10,MMP12,MMP13,PF4,SDC2,SDC4	
Sphingosine-1-phosphate Signaling	5.98E00	1.17E-01	NaN	CASP6,CASQ1,PDGFA,PIK3C2B,PIK3CB,PTK2B,RHOQ,RHOU,RND1,S1PR1,S1PR2,SMPD2,SMPD3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.88E00	6.64E-02	NaN	ADAMTS4,CCL2,CEBPB,FCGR3A/FCGR3B,FOS,FZD7,FZD8,IL10,IL17RA,IL1R1,IL1RN,MAPKAPK2,MMP13,PDGFA,PIK3C2B,PIK3CB,RYK,SOCS3,TRAF1,TRAF4	
Th2 Pathway	4.82E00	9.92E-02	NaN	CCR3,GFI1,HLA-DMB,HLA-DQA1,IL10,IL2RA,NOTCH1,PIK3C2B,PIK3CB,PSEN2,S1PR1,SOCS3	
Ceramide Signaling	4.71E00	1.16E-01	NaN	CTSD,FOS,NFKB2,PIK3C2B,PIK3CB,PPM1J,S1PR1,S1PR2,SMPD2,SMPD3	
Agranulocyte Adhesion and Diapedesis	4.68E00	8.38E-02	NaN	CCL2,CCL4,Ccl7,Ccl8,CLDN4,IL1R1,IL1RN,ITGA1,ITGA6,MMP10,MMP12,MMP13,PF4,SDC4	
Human Embryonic Stem Cell Pluripotency	4.44E00	9.09E-02	NaN	BMP1,BMP2,FGFR1,FGFR3,FZD7,FZD8,PDGFA,PIK3C2B,PIK3CB,S1PR1,S1PR2,SMAD6	
Hepatic Fibrosis Signaling Pathway	4.36E00	5.93E-02	NaN	CCL2,CEBPB,FGFR1,FOS,FTH1,FZD7,FZD8,IL17RA,IL1R1,IL1RN,MMP13,NFKB2,PDGFA,PDK1,PIK3C2B,PIK3CB,RHOQ,RHOU,RND1,SERPINE1,SNAI1	
STAT3 Pathway	4.34E00	8.89E-02	NaN	CDKN1A,CSF2RB,FGFR1,FGFR3,IL13RA1,IL17RA,IL17RD,IL1R1,IL21R,IL2RA,PTPN2,SOCS3	
IL-17A Signaling in Fibroblasts	4.21E00	1.88E-01	NaN	CCL2,CEBPB,FOS,IL17RA,LCN2,NFKB2	
Axonal Guidance Signaling	3.93E00	5.15E-02	NaN	ADAMTS4,BMP1,BMP2,DPYSL2,EPHB3,FYN,FZD7,FZD8,GNG4,MMP10,MMP12,MMP13,NCK2,NTNG2,PDGFA,PIK3C2B,PIK3CB,PLXND1,RND1,SDC2,SEMA4C,SEMA6C,SEMA7A,TUBB2A	
Molecular Mechanisms of Cancer	3.92E00	5.53E-02	NaN	BMP1,BMP2,CASP6,CCND2,CDH1,CDKN1A,E2F5,FOS,FYN,FZD7,FZD8,NFKB2,NOTCH1,PIK3C2B,PIK3CB,PSEN2,RALGDS,RHOQ,RHOU,RND1,SMAD6	
Role of IL-17A in Arthritis	3.91E00	1.37E-01	NaN	CCL2,IL17RA,MAPKAPK2,MMP13,NFKB2,PIK3C2B,PIK3CB	
HMGB1 Signaling	3.82E00	7.84E-02	NaN	CCL2,FOS,IL1R1,NFKB2,PIK3C2B,PIK3CB,RHOQ,RHOU,RND1,SERPINE1,TNFSF10,Tnfsf9	
Th1 and Th2 Activation Pathway	3.79E00	7.79E-02	NaN	CCR3,GFI1,HLA-DMB,HLA-DQA1,IL10,IL2RA,NOTCH1,PIK3C2B,PIK3CB,PSEN2,S1PR1,SOCS3	
Caveolar-mediated Endocytosis Signaling	3.78E00	1.13E-01	NaN	DYRK3,FLOT1,FYN,ITGA1,ITGA6,ITGA8,ITGAM,PTPN1	
