© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Cardiac Hypertrophy Signaling (Enhanced)	2.21E00	2.77E-02	NaN	ATP2A3,IL11RA,IL2RG,IL7R,MAPK13,MEF2C,NAPEPLD,PDE3B,PDE8B,PLCE1,PRKD3,RRAS2,TNFSF15	
Apelin Cardiomyocyte Signaling Pathway	2.13E00	5.15E-02	NaN	ATP2A3,MAPK13,PLCE1,PRKD3,SLC8A2	
Endothelin-1 Signaling	2.11E00	3.87E-02	NaN	CASP3,GUCY2C,MAPK13,NAPEPLD,PLCE1,PRKD3,RRAS2	
Inhibition of Angiogenesis by TSP1	2.1E00	9.09E-02	NaN	CASP3,CD36,MAPK13	
T Helper Cell Differentiation	2.01E00	5.97E-02	NaN	ICOS,ICOSLG/LOC102723996,IL2RG,TBX21	
Sorbitol Degradation I	1.9E00	1E00	NaN	SORD	
Endocannabinoid Developing Neuron Pathway	1.85E00	4.39E-02	NaN	CCND1,MAPK13,MGLL,PAX6,RRAS2	
Primary Immunodeficiency Signaling	1.84E00	7.32E-02	NaN	ICOS,IL2RG,IL7R	
tRNA Splicing	1.84E00	7.32E-02	NaN	NAPEPLD,PDE3B,PDE8B	
IL-7 Signaling Pathway	1.8E00	5.19E-02	NaN	CCND1,IL2RG,IL7R,MAPK13	
Parkinson's Signaling	1.78E00	1.25E-01	NaN	CASP3,MAPK13	
Gα12/13 Signaling	1.67E00	3.94E-02	NaN	CDH15,F2R,LPAR3,MEF2C,RRAS2	
p70S6K Signaling	1.67E00	3.94E-02	NaN	F2R,IL2RG,PLCE1,PRKD3,RRAS2	
Endocannabinoid Neuronal Synapse Pathway	1.67E00	3.94E-02	NaN	GRIN1,MAPK13,MGLL,NAPEPLD,PLCE1	
Chondroitin Sulfate Biosynthesis	1.63E00	6.12E-02	NaN	B3GAT1,CHST3,NDST1	
Acute Myeloid Leukemia Signaling	1.61E00	4.55E-02	NaN	CCND1,FLT3,KIT,RRAS2	
Asparagine Degradation I	1.61E00	5E-01	NaN	ASRGL1	
Glycine Biosynthesis I	1.61E00	5E-01	NaN	SHMT1	
